  Kerala Fishermens Welfare Fund Act, 1985: 1

  Kerala Public Mens Corruption Investigations and Inquiries Act, 1987: 1

  Maharashtra Local Authority Members Disqualification Act, 1986: 1

  Womens and Childrens Institutions Licensing Act, 1956: 1

  Abkari Act, 1077: 1

  Additional Duties of Excise Textiles and Textile Articles Amendment Act, 1985: 1

  Advocates Amendment Act, 1973: 1

  Ahmedabad City Courts Act, 1961: 1

  Air Corporations Transfer of Undertakings and Repeal Act, 1994: 1

  Aircraft Act, 1934: 1

  All India Institute of Medical Sciences Act, 1956: 1

  Ancient Monuments and Archaeological Sites and Remains Amendment and Validation Act, 2010: 1

  Andhra Pradesh Telangana Area Abolition of Inams Act, 1955: 1

  Andhra Pradesh Assigned Lands Prohibition of Transfers Act, 1977: 1

  Andhra Pradesh Charitable and Hindu Religious Institutions and Endowments Act, 1987: 1

  Andhra Pradesh Charitable and Hindu Religious Institutions and Endowments Act, 1987: 1

  Andhra Pradesh Civil Services Disciplinary Proceedings Tribunal Act, 1960: 1

  Andhra Pradesh Commissionerate of Higher Education Act, 1986: 1

  Andhra Pradesh Land Reforms Ceiling on Agricultural Holdings Act, 1973: 1

  Andhra Pradesh Lokayukta Act, 1983: 1

  Andhra Pradesh Motor Vehicles Taxation Act, 1963: 1

  Andhra Pradesh Panchayat Raj Act, 1994: 1

  Andhra Pradesh Public Employment Regulation of Age of Superannuation Act, 1984: 1

  Andhra Pradesh Rights in Land and Pattadar Pass Books Act, 1971: 1

  Andhra Pradesh Rural Development Act, 1996: 1

  Andhra Pradesh Rural Development Act, 1996: 1

  Andhra Pradesh Shops and Establishments Act, 1988: 1

  Andhra Pradesh Urban Areas Development Act, 1975: 1

  Armed Forces Jammu and Kashmir Special Powers Act, 1990: 1

  Armed Forces Special Powers Act, 1958: 1

  Assam Agricultural Incometax Act, 1939: 1

  Assam Excise Act, 1910: 1

  Assam Preventive Detention Act, 1980: 1

  Assam Secondary Education Act, 1961: 1

  Banaras Hindu University Amendment Act, 1958: 1

  Banaras Hindu University Act, 1915: 1

  Bangalore Acquisition of Lands Validation Act, 1962: 1

  Bangalore Development Authority Act, 1976: 1

  Banking Companies Acquisition and Transfer of Undertakings Act, 1970: 1

  Banking Companies Acquisition and Transfer of Undertakings Act, 1980: 1

  Banking Laws Amendment Act, 1968: 1

  Banking Laws Miscellaneous Provisions Act, 1963: 1

  Banking Service Commission Act, 1975: 1

  Beedi Workers Welfare Fund Act, 1976: 1

  Beedi and Cigar Workers Conditions of Employment Act, 1966: 1

  Bengal Amusements Tax Act, 1922: 1

  Bengal Amusements Tax Act, 1922: 1

  Bengal Moneylenders Act, 1940: 1

  Bengal Moneylenders Act, 1940: 1

  Bengal Suppression of Terrorist Outrages Act, 1932: 1

  Bengal Survey Act, 1875: 1

  Bihar Lokayukta Act, 1973: 1

  Bihar Maintenance of Public Order Act, 1949: 1

  Bihar Taxation on Passengers and Goods Carried by Public Service Motor Vehicles Act, 1961: 1

  Bombay Agricultural Debtors Relief Act, 1947: 1

  Bombay Animal Preservation Gujarat Extension and Amendment Act, 1961: 1

  Bombay Cinemas Regulation Act, 1953: 1

  Bombay Cotton Contracts Act, 1932: 1

  Bombay Cotton Contracts Act, 1932: 1

  Bombay Court of Wards Act, 1905: 1

  Bombay Electricity Duty Act, 1958: 1

  Bombay Entertainments Duty Act, 1923: 1

  Bombay Forward Contracts Control Act, 1947: 1

  Bombay Homoeopathic Practitioners Act, 1959: 1

  Bombay Khoti Abolition Act, 1949: 1

  Bombay Merged Territories Janjira and Bhor Khoti Tenure Abolition Act, 1953: 1

  Bombay Motor Vehicles Tax Gujarat Amendment Act, 1992: 1

  Bombay Paragana and Kulkarni Watans Abolition Act, 1950: 1

  Bombay Personal Inams Abolition Act, 1952: 1

  Bombay Pleaders Act, 1920: 1

  Bombay Police Amendment Act, 2005: 1

  Bombay Prevention of Begging Act, 1959: 1

  Bombay Prevention of Fragmentation and Consolidation of Holdings Act, 1947: 1

  Bombay Prevention of Gambling Act, 1887: 1

  Bombay Provincial Municipal Corporations Act, 1949: 1

  Bombay Reorganisation Act, 1960: 1

  Bombay State Reserve Police Force Act, 1951: 1

  Bombay Tenancy and Agricultural Lands Gujarat Amendment Act, 1965: 1

  Bonded Labour System Abolition Act, 1976: 1

  Building and Other Construction Workers Welfare Cess Act, 1996: 1

  Building and Other Construction Workers Welfare Cess Act, 1996: 1

  Burdwan University Act, 1981: 1

  Burdwan University Act, 1981: 1

  Calcutta University Act, 1979: 1

  Cantonments Extension of Rent Control Laws Act, 1957: 1

  Capital of Punjab Development and Regulation Act, 1952: 1

  Cattle Trespass Act, 1871: 1

  Central Boards of Revenue Act, 1963: 1

  Central Duties of Excise Retrospective Exemption Act, 1986: 1

  Central India Spinning, Weaving and Manufacturing Company Limited, the Empress Mills, Nagpur Acquisition and Transfer of Undertaking Act, 1986: 1

  Central Industrial Security Force Act, 1968: 1

  Central Laws Extension to Jammu and Kashmir Act, 1968: 1

  Central Provinces and Berar Debt Conciliation Act, 1933: 1

  Central Sales Tax Amendment Act, 1969: 1

  Central Sales Tax Amendment Act, 2001: 1

  Central Vigilance Commission Act, 2003: 1

